title,link,published,description,category
Gas prices soar as Russia cuts German supply,https://www.bbc.co.uk/news/business-62318376?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 13:21:41 GMT",The Nord Stream 1 pipeline is now operating at just a fifth of its usual capacity.,business
McDonald's puts up price of cheeseburger for first time in 14 years,https://www.bbc.co.uk/news/business-62317453?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 13:07:59 GMT",The fast food firm increases the price for the first time in 14 years due to growing cost pressures.,business
Train strikes: 'I'm missing the football because I can't get there',https://www.bbc.co.uk/news/business-62309668?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 10:53:22 GMT","Tens of thousands of rail workers are walking out in a dispute over pay, jobs and terms.",business
Vow to tackle long waits to make a complaint,https://www.bbc.co.uk/news/business-62308181?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 23:04:12 GMT",The financial regulator says new rules should tackle some of the biggest frustrations for consumers.,business
MPs call for debt repayments holiday for benefits claimants,https://www.bbc.co.uk/news/business-62312313?at_medium=RSS&at_campaign=KARANGA,"Wed, 27 Jul 2022 03:16:49 GMT","Households struggling through the cost-of-living crisis need some breathing space, MPs say in a report.",business
IMF: UK set for slowest growth of G7 countries in 2023,https://www.bbc.co.uk/news/business-62299490?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 16:40:32 GMT","The IMF cuts its UK forecast for 2023 and says the global economy is ""teetering on the edge"" of recession.",business
Cost-of-living payments branded insufficient as energy bills soar,https://www.bbc.co.uk/news/business-62291652?at_medium=RSS&at_campaign=KARANGA,"Tue, 26 Jul 2022 08:01:14 GMT",A committee of MPs says cost-of-living payments should reflect higher than anticipated energy bills.,business
Food banks warn they are struggling to keep up with demand,https://www.bbc.co.uk/news/business-62228972?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 16:00:45 GMT",Research by Radio 4's Money Box into 203 food banks found many are receiving fewer food donations.,business
Cost of living: Saving money on our summer holiday,https://www.bbc.co.uk/news/business-62132409?at_medium=RSS&at_campaign=KARANGA,"Sat, 23 Jul 2022 23:30:13 GMT",Millions of us are still determined to have a summer getaway but keeping an eye on spending.,business
Cost of living: Fuel and clothing at top of family spending cuts,https://www.bbc.co.uk/news/business-62262138?at_medium=RSS&at_campaign=KARANGA,"Fri, 22 Jul 2022 11:17:44 GMT",Retailers say record price rises are making households concerned over what they can afford.,business
Inflation pushes UK government interest costs in June to fresh record,https://www.bbc.co.uk/news/business-62240775?at_medium=RSS&at_campaign=KARANGA,"Thu, 21 Jul 2022 08:03:43 GMT",Interest payments made on government debt hit the highest level on record in June as inflation surged.,business
"Inflation: Fuel, milk and eggs push prices up at fastest rate in 40 years",https://www.bbc.co.uk/news/business-62233571?at_medium=RSS&at_campaign=KARANGA,"Wed, 20 Jul 2022 12:05:05 GMT","The prices of fuel and food climbed in June, latest figures show.",business
UK pay falls at fastest rate on record as inflation hits,https://www.bbc.co.uk/news/business-62218706?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 14:13:32 GMT",Basic pay falls at fastest rate since records began in 2001 when rising prices are taken into account.,business
Summer holiday childcare costs: 'I would be paying to work',https://www.bbc.co.uk/news/business-62209941?at_medium=RSS&at_campaign=KARANGA,"Mon, 18 Jul 2022 23:08:11 GMT",New research finds that holiday childcare costs have risen by 5% in the last year.,business
New chancellor Nadhim Zahawi pledges to control rising prices,https://www.bbc.co.uk/news/business-62215079?at_medium=RSS&at_campaign=KARANGA,"Tue, 19 Jul 2022 19:03:12 GMT","The government will deliver ""sound public finances"", the new chancellor said in a speech at Mansion House.",business
